,number_week,artist_individual,true_streams,rank
423,20211125,Olivia Rodrigo,13175460.0,4.0
424,20211125,Juice WRLD,13130748.5,5.0
425,20211125,The Weeknd,12473279.5,6.0
426,20211125,Polo G,11282554.666666666,7.0
427,20211125,Lil Nas X,10118801.5,8.0
428,20211125,Ed Sheeran,9695932.0,9.0
429,20211125,Kanye West,8888319.0,10.0
430,20211202,Adele,34592822.0,1.0
431,20211202,Doja Cat,17621985.0,2.0
432,20211202,Taylor Swift,16785911.0,3.0
433,20211202,Olivia Rodrigo,15752605.0,4.0
434,20211202,The Weeknd,11553932.0,5.0
435,20211202,Juice WRLD,11501705.5,6.0
436,20211202,Polo G,9883540.333333334,7.0
437,20211202,Lil Nas X,9448929.5,8.0
438,20211202,Justin Bieber,8972057.166666666,9.0
439,20211202,Mariah Carey,8007414.0,10.0
440,20211209,Olivia Rodrigo,23031903.0,1.0
441,20211209,Doja Cat,20260293.5,2.0
442,20211209,Adele,16003846.0,3.0
443,20211209,Polo G,15703681.666666666,4.0
444,20211209,SZA,15246299.0,5.0
445,20211209,Juice WRLD,14292894.5,6.0
446,20211209,Justin Bieber,12058554.0,7.0
447,20211209,The Weeknd,11113118.0,8.0
448,20211209,Taylor Swift,9910273.0,9.0
449,20211209,Lil Nas X,9684958.5,10.0
450,20211216,Juice WRLD,67366981.16666667,1.0
451,20211216,Olivia Rodrigo,21685498.0,2.0
452,20211216,Doja Cat,18323476.0,3.0
453,20211216,Justin Bieber,12357576.833333334,4.0
454,20211216,SZA,11800586.0,5.0
455,20211216,Polo G,11554098.333333334,6.0
456,20211216,Mariah Carey,10683707.0,7.0
457,20211216,The Weeknd,9585860.5,8.0
458,20211216,Andy Williams,9365880.0,9.0
459,20211216,Michael Bublé,9142304.0,10.0
460,20211223,Juice WRLD,22747625.5,1.0
461,20211223,Bing Crosby,17581463.333333332,2.0
462,20211223,Doja Cat,17211911.0,3.0
463,20211223,Michael Bublé,14853969.0,4.0
464,20211223,Nat King Cole,13843564.0,5.0
465,20211223,Olivia Rodrigo,13824661.0,6.0
466,20211223,Andy Williams,13585308.0,7.0
467,20211223,Mariah Carey,13011433.0,8.0
468,20211223,Justin Bieber,11213740.5,9.0
469,20211223,Brenda Lee,11030691.0,10.0
470,20211230,Juice WRLD,17415219.0,1.0
471,20211230,Doja Cat,15686259.0,2.0
472,20211230,Olivia Rodrigo,12533775.0,3.0
473,20211230,Bing Crosby,11723421.833333334,4.0
474,20211230,Nat King Cole,11539121.0,5.0
475,20211230,Andy Williams,10897224.0,6.0
476,20211230,Mariah Carey,9718778.0,7.0
477,20211230,Justin Bieber,9334665.0,8.0
478,20211230,Brenda Lee,8608916.0,9.0
479,20211230,Vince Guaraldi Trio,8437337.0,10.0
480,20220106,Doja Cat,17871072.0,1.0
481,20220106,Olivia Rodrigo,17487171.0,2.0
482,20220106,Juice WRLD,16221983.833333334,3.0
483,20220106,The Weeknd,12321926.5,4.0
484,20220106,Polo G,9096059.833333334,5.0
485,20220106,SZA,8878663.5,6.0
486,20220106,Lil Nas X,8243385.0,7.0
487,20220106,Morgan Wallen,8145173.0,8.0
488,20220106,Adele,7068643.0,9.0
489,20220106,Kodak Black,7067432.0,10.0
490,20220113,The Weeknd,93700236.5,1.0
491,20220113,Gunna,28299508.0,2.0
492,20220113,Doja Cat,17085965.5,3.0
493,20220113,Juice WRLD,13443443.0,4.0
494,20220113,Olivia Rodrigo,12862012.0,5.0
495,20220113,Kodak Black,9422161.5,6.0
496,20220113,SZA,8879503.0,7.0
497,20220113,Polo G,7997345.333333333,8.0
498,20220113,Morgan Wallen,7931526.0,9.0
499,20220113,Lil Nas X,7808460.5,10.0
500,20220120,The Weeknd,43228739.0,1.0
501,20220120,Doja Cat,16534398.0,2.0
502,20220120,Gunna,12797492.166666666,3.0
503,20220120,Olivia Rodrigo,12360983.0,4.0
504,20220120,Juice WRLD,12111674.0,5.0
505,20220120,Kodak Black,9202257.5,6.0
506,20220120,Kanye West,8514363.0,7.0
507,20220120,SZA,8475032.5,8.0
508,20220120,Polo G,8438617.0,9.0
509,20220120,Drake,7972494.333333334,10.0
510,20220127,The Weeknd,28565285.5,1.0
511,20220127,Doja Cat,16590174.0,2.0
512,20220127,Olivia Rodrigo,12355662.0,3.0
513,20220127,Juice WRLD,11904659.0,4.0
514,20220127,Kodak Black,8604673.0,5.0
515,20220127,SZA,8339358.0,6.0
516,20220127,Stephanie Beatriz,8276114.428571428,7.0
517,20220127,The Neighbourhood,8087243.0,8.0
518,20220127,Polo G,7756151.0,9.0
519,20220127,Lil Nas X,7653522.5,10.0
520,20220203,The Weeknd,19785975.0,1.0
521,20220203,Doja Cat,16706980.0,2.0
522,20220203,Olivia Rodrigo,12459118.0,3.0
523,20220203,Juice WRLD,11977951.0,4.0
524,20220203,Kodak Black,8563218.0,5.0
525,20220203,Polo G,8463513.666666666,6.0
526,20220203,Stephanie Beatriz,8307346.880952381,7.0
527,20220203,J. Cole,8225063.833333333,8.0
528,20220203,Lil Nas X,8211731.0,9.0
529,20220203,The Neighbourhood,8180325.0,10.0
530,20220210,The Weeknd,17838376.0,1.0
531,20220210,Juice WRLD,17428888.0,2.0
532,20220210,Doja Cat,16548594.5,3.0
533,20220210,Olivia Rodrigo,12562112.0,4.0
534,20220210,J. Cole,9668252.0,5.0
535,20220210,Lil Nas X,8962755.0,6.0
536,20220210,Kodak Black,8577618.0,7.0
537,20220210,The Neighbourhood,8119516.0,8.0
538,20220210,Stephanie Beatriz,7900455.595238095,9.0
539,20220210,Polo G,7691971.0,10.0
540,20220217,Doja Cat,18303099.5,1.0
541,20220217,The Weeknd,12969883.0,2.0
542,20220217,Eminem,12573290.5,3.0
543,20220217,Olivia Rodrigo,12382258.0,4.0
544,20220217,Juice WRLD,11926112.5,5.0
545,20220217,J. Cole,9709284.0,6.0
546,20220217,Lil Nas X,8740296.0,7.0
547,20220217,Kendrick Lamar,8571504.5,8.0
548,20220217,Kanye West,8197478.333333333,9.0
549,20220217,The Neighbourhood,7885834.0,10.0
550,20220224,Doja Cat,15125021.0,1.0
551,20220224,The Weeknd,12202345.5,2.0
552,20220224,Olivia Rodrigo,12178202.0,3.0
553,20220224,Kanye West,11483475.0,4.0
554,20220224,Juice WRLD,10929432.5,5.0
555,20220224,Eminem,10153816.0,6.0
556,20220224,Jack Harlow,10122054.5,7.0
557,20220224,J. Cole,9687928.0,8.0
558,20220224,Lil Nas X,8159745.5,9.0
559,20220224,Kendrick Lamar,7663350.0,10.0
560,20220303,Doja Cat,16848429.5,1.0
561,20220303,The Weeknd,12496835.0,2.0
562,20220303,Olivia Rodrigo,11969245.0,3.0
563,20220303,Kanye West,11733840.0,4.0
564,20220303,Juice WRLD,10352982.0,5.0
565,20220303,J. Cole,9936501.333333334,6.0
566,20220303,Eminem,8178235.5,7.0
567,20220303,Lil Nas X,7930301.0,8.0
568,20220303,Kodak Black,7718541.0,9.0
569,20220303,The Neighbourhood,7609854.0,10.0
570,20220310,Doja Cat,16462623.5,1.0
571,20220310,The Weeknd,12810853.0,2.0
572,20220310,Olivia Rodrigo,12115099.0,3.0
573,20220310,Kanye West,11558069.0,4.0
574,20220310,Juice WRLD,9773999.0,5.0
575,20220310,J. Cole,9182264.0,6.0
576,20220310,Eminem,7681191.5,7.0
577,20220310,Labrinth,7635283.5,8.0
578,20220310,Lil Nas X,7630857.5,9.0
579,20220310,Morgan Wallen,7551743.5,10.0
580,20220317,Doja Cat,17043356.5,1.0
581,20220317,The Weeknd,12591257.0,2.0
582,20220317,Olivia Rodrigo,12034279.0,3.0
